Number,Date&Time,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Alarm1-10,AlarmOut
135,2023/03/08 14:41:17,0,+  50.9,+  48.2,+ 144.8,+ 123.2,+  54.6,+  46.9,+ 0.305,+ 0.109,LLLLLLLLLL,LLLL
136,2023/03/08 14:41:17,500,+  50.9,+  48.2,+ 144.9,+ 123.3,+  54.6,+  46.9,+ 0.221,+ 0.104,LLLLLLLLLL,LLLL
137,2023/03/08 14:41:18,0,+  50.9,+  48.2,+ 144.9,+ 123.4,+  54.6,+  47.0,+ 0.279,+ 0.107,LLLLLLLLLL,LLLL
138,2023/03/08 14:41:18,500,+  50.9,+  48.3,+ 145.0,+ 123.5,+  54.6,+  47.0,+ 0.370,+ 0.100,LLLLLLLLLL,LLLL
139,2023/03/08 14:41:19,0,+  50.9,+  48.4,+ 145.1,+ 123.5,+  54.6,+  47.0,+ 0.455,+ 0.103,LLLLLLLLLL,LLLL
140,2023/03/08 14:41:19,500,+  50.9,+  48.3,+ 145.1,+ 123.6,+  54.7,+  47.1,+ 0.378,+ 0.103,LLLLLLLLLL,LLLL
141,2023/03/08 14:41:20,0,+  50.9,+  48.4,+ 145.1,+ 123.8,+  54.8,+  47.1,+ 0.427,+ 0.104,LLLLLLLLLL,LLLL
142,2023/03/08 14:41:20,500,+  50.9,+  48.3,+ 145.1,+ 123.8,+  54.8,+  47.1,+ 0.269,+ 0.105,LLLLLLLLLL,LLLL
143,2023/03/08 14:41:21,0,+  50.9,+  48.4,+ 145.1,+ 123.9,+  54.8,+  47.0,+ 0.336,+ 0.111,LLLLLLLLLL,LLLL
144,2023/03/08 14:41:21,500,+  51.0,+  48.4,+ 145.1,+ 123.9,+  54.8,+  47.1,+ 0.328,+ 0.106,LLLLLLLLLL,LLLL
145,2023/03/08 14:41:22,0,+  50.9,+  48.4,+ 145.2,+ 124.1,+  54.8,+  47.1,+ 0.286,+ 0.103,LLLLLLLLLL,LLLL
146,2023/03/08 14:41:22,500,+  51.0,+  48.4,+ 145.2,+ 124.1,+  54.9,+  47.1,+ 0.293,+ 0.104,LLLLLLLLLL,LLLL
147,2023/03/08 14:41:23,0,+  51.0,+  48.4,+ 145.2,+ 124.2,+  54.9,+  47.2,+ 0.218,+ 0.100,LLLLLLLLLL,LLLL
148,2023/03/08 14:41:23,500,+  51.0,+  48.4,+ 145.2,+ 124.2,+  54.9,+  47.2,+ 0.307,+ 0.104,LLLLLLLLLL,LLLL
149,2023/03/08 14:41:24,0,+  51.0,+  48.5,+ 145.3,+ 124.3,+  54.9,+  47.2,+ 0.312,+ 0.107,LLLLLLLLLL,LLLL
150,2023/03/08 14:41:24,500,+  51.0,+  48.5,+ 145.3,+ 124.3,+  54.9,+  47.2,+ 0.275,+ 0.106,LLLLLLLLLL,LLLL
151,2023/03/08 14:41:25,0,+  51.0,+  48.5,+ 145.4,+ 124.3,+  54.9,+  47.2,+ 0.273,+ 0.107,LLLLLLLLLL,LLLL
152,2023/03/08 14:41:25,500,+  51.0,+  48.6,+ 145.4,+ 124.3,+  54.9,+  47.2,+ 0.271,+ 0.109,LLLLLLLLLL,LLLL
153,2023/03/08 14:41:26,0,+  51.1,+  48.6,+ 145.4,+ 124.3,+  54.9,+  47.2,+ 0.314,+ 0.112,LLLLLLLLLL,LLLL
154,2023/03/08 14:41:26,500,+  51.1,+  48.7,+ 145.4,+ 124.4,+  54.9,+  47.2,+ 0.303,+ 0.110,LLLLLLLLLL,LLLL
155,2023/03/08 14:41:27,0,+  51.1,+  48.7,+ 145.5,+ 124.4,+  54.9,+  47.2,+ 0.206,+ 0.116,LLLLLLLLLL,LLLL
156,2023/03/08 14:41:27,500,+  51.1,+  48.7,+ 145.6,+ 124.4,+  54.9,+  47.2,+ 0.239,+ 0.110,LLLLLLLLLL,LLLL
157,2023/03/08 14:41:28,0,+  51.1,+  48.7,+ 145.6,+ 124.6,+  54.9,+  47.2,+ 0.278,+ 0.113,LLLLLLLLLL,LLLL
158,2023/03/08 14:41:28,500,+  51.1,+  48.7,+ 145.6,+ 124.7,+  54.9,+  47.2,+ 0.306,+ 0.113,LLLLLLLLLL,LLLL
