"","species","plant","date","total_branch_mass","total_leaf_mass","stem_mass_ratio","leaf_mass_ratio","leaf_lfm","thickness","leaf_wet_mass","leaf_dry_mass","stem_lfm","stem_width","stem_wet_mass","stem_dry_mass","stem_sav","lfm","leaf_dmc","stem_dmc","dmc","leaf_area","leaf_sav","LMA","SLA"
"37","HETARB",8,2022-08-10,30.867,28.933,0.516170568561873,0.483829431438127,89.8866512600416,0.388,3.451,1.8174,94.5888311342128,3.64,1.46,0.750300000000001,5.59317743233485,91.2606612922069,0.52662996232976,0.513904109589042,3.49481524195885,15.961654372,5.15463917525773,0.113860377981125,8.7826864597777
"38","HETARB",9,2022-08-31,17.14,18.373,0.48264015994143,0.51735984005857,106.701570680628,0.416,0.986999999999998,0.477500000000001,107.291666666666,1.99,0.199,0.0960000000000001,10.0933790225818,106.800348735832,0.483789260385007,0.482412060301508,0.773764437689971,6.3790114392,4.80769230769231,0.074854858711444,13.3591862601047
"39","IRIDOU",1,2022-08-10,20.104,20.104,0.5,0.5,189.867928247585,0.278,2.941,1.0146,NA,NA,NA,NA,NA,189.867928247585,0.344984699081945,NA,0.344984699081945,20.650738642,7.19424460431655,0.0491314145023597,20.3535764261778
"40","IRIDOU",2,2022-08-10,19.109,19.109,0.5,0.5,144.354110207768,0.432,2.164,0.885600000000002,NA,NA,NA,NA,NA,144.354110207768,0.40924214417745,NA,0.40924214417745,14.647040704,4.62962962962963,0.0604627253994147,16.5391155194218
"41","IRIDOU",3,2022-08-17,20.034,20.034,0.5,0.5,207.948020550015,0.384,3.057,0.992699999999999,NA,NA,NA,NA,NA,207.948020550015,0.324730127576055,NA,0.324730127576055,20.350578482,5.20833333333333,0.0487799401318266,20.500230162184
"42","IRIDOU",4,2022-08-30,18.468,18.468,0.5,0.5,202.909525707455,0.352,1.52,0.501799999999996,NA,NA,NA,NA,NA,202.909525707455,0.330131578947366,NA,0.330131578947366,9.7428255466,5.68181818181818,0.0515045658571924,19.4157543774414
"43","IRIDOU",5,2022-08-30,18.796,18.796,0.5,0.5,160.264242079842,0.602,1.832,0.703899999999997,NA,NA,NA,NA,NA,160.264242079842,0.384224890829693,NA,0.384224890829693,8.9813169606,3.32225913621262,0.0783738067688653,12.7593649106408
"44","IRIDOU",6,2022-08-30,17.679,17.679,0.5,0.5,249.206349206354,0.28,0.748000000000005,0.214199999999998,NA,NA,NA,NA,NA,249.206349206354,0.286363636363632,NA,0.286363636363632,5.629276406,7.14285714285714,0.0380510716744503,26.2804687488331
"45","IRIDOU",7,2022-08-30,19.362,19.362,0.5,0.5,185.509325681491,0.384,2.38800000000001,0.836400000000005,NA,NA,NA,NA,NA,185.509325681491,0.350251256281408,NA,0.350251256281408,15.557743312,5.20833333333333,0.0537610104001955,18.6008408799616
"46","MALLAU",1,2022-07-13,24.362,22.445,0.520477706325977,0.479522293674023,124.183750949127,0.266,3.543,1.5804,160.494075115484,2.3775,1.297,0.497900000000001,9.71705862346372,132.882644469037,0.446062658763759,0.383885890516578,3.01793062376517,18.709182593,7.5187969924812,0.0844718892524626,11.8382577784105
