"","species","ignition","prop_ig","fh","fd","temp_change","heat_flux_change","r_fh","r_fd","r_temp_change","r_heat_flux_change"
"63","ERIKAR","M",0.0408163265306122,-1.34072382150071,-0.931074579663642,-0.55524089977594,-0.645377408283653,-1.63152454503168,-0.673097684030263,-0.733024981469732,-1.33231434920141
"64","ERIKAR","M",0.0408163265306122,-1.18544866167909,2.96152619808043,-1.04248674525243,-0.853597895066764,-1.49868614187825,3.198448632601,-1.23068816356577,-1.57181881792109
"65","ERIKAR","M",0.0408163265306122,-1.10781108176828,-0.80344832465564,-0.481820292923319,-1.13664326587339,-1.37754855811572,-0.606803989655198,-0.276022917471194,-1.79419315254978
"66","ERIKAR","M",0.0408163265306122,-1.18544866167909,-0.292943304623631,0.118893763143586,-0.648988350083349,-1.51761885223365,-0.154885296197936,0.295703767132605,-1.39358931693105
"67","ERIKAR","M",0.0408163265306122,-1.03017350185747,-0.675822069647637,-0.588613902890769,-0.903624219674302,-1.26576808762289,-0.447138337301632,-0.366964058669757,-1.51356804688201
"68","ERIKAR","M",0.0408163265306122,-1.2630862415899,-0.612008942143636,-0.67538371098932,-0.522823037461846,-1.56891763083833,-0.44923482719422,-0.486344659664303,-1.23069932986228
"69","ERIKAR","M",0.0408163265306122,-1.2630862415899,-0.931074579663642,-0.50851869541518,-0.637816481244409,-1.49965633851481,-0.703306258670367,-0.287321778873279,-1.24912048157979
"70","ERIKAR","M",0.0408163265306122,-1.49599898132232,-0.80344832465564,-0.535217097907043,-0.904737521375943,-1.71988743317391,-0.563779656076869,-0.308132121536699,-1.49835927105153
"71","ERIKAR","M",0.0408163265306122,-1.65127414114394,-0.867261452159641,-0.568590101021871,-0.797217843774482,-1.87808912647399,-0.630339017639061,-0.34286390768886,-1.3949201128331
"72","ERIKAR","M",0.0408163265306122,-1.18544866167909,-0.420569559631633,-0.915669333416081,-0.574034951588838,-1.44445551527218,-0.213855699751157,-0.704889753493734,-1.21662293386079
"73","ERIKAR","M",0.0408163265306122,-1.41836140141151,-0.80344832465564,-0.355002881086973,-0.602623850515616,-1.5713140864578,-0.571102946898712,-0.260737321646119,-1.397068068658
"74","ERIKAR","M",0.0408163265306122,-1.49599898132232,-0.931074579663642,-0.742129717218976,-0.614482819710946,-1.65968228912296,-0.708798726786749,-0.652846362248343,-1.42388894225777
"75","ERIKAR","M",0.0408163265306122,-1.49599898132232,-0.80344832465564,-0.308280676726212,-0.726822147673381,-1.65968228912296,-0.581172471778747,-0.21899732175558,-1.5362282702202
"76","ERIKAR","M",0.0408163265306122,-1.49599898132232,-0.867261452159641,-0.762153519087873,-0.529169899126035,-1.6645598449204,-0.6495626560464,-0.675134802512796,-1.34537688731124
"77","ERIKAR","M",0.0408163265306122,-1.65127414114394,-0.931074579663642,-0.782177320956771,-0.599938825917189,-1.78569211415999,-0.681336386204837,-0.679306135612807,-1.36853975463371
